1,Gorgeous Bronze Pants,67,87.13
2,Intelligent Linen Gloves,10,98.57
3,Aerodynamic Silk Pants,69,52.53
4,Small Aluminum Shirt,19,51.85
5,Enormous Bronze Lamp,79,196.04
6,Fantastic Linen Gloves,18,100.02
7,Ergonomic Linen Knife,61,100.6
8,Rustic Concrete Hat,97,132.32
9,Incredible Iron Hat,34,181.78
10,Mediocre Marble Computer,14,137.91
11,Heavy Duty Wooden Shirt,26,76.13
12,Durable Cotton Knife,19,161.86
13,Aerodynamic Wool Lamp,60,160.32
14,Sleek Wool Gloves,38,115.0
15,Lightweight Linen Shirt,41,111.11
16,Heavy Duty Concrete Keyboard,91,31.95
17,Practical Iron Computer,38,122.72
18,Ergonomic Silk Bottle,12,7.12
19,Intelligent Wool Bottle,4,198.53
20,Incredible Wool Car,60,145.84
21,Ergonomic Leather Computer,31,108.95
22,Intelligent Rubber Computer,27,92.63
23,Durable Paper Hat,88,27.34
24,Sleek Wool Knife,70,144.66
25,Lightweight Paper Table,56,38.66
26,Enormous Iron Plate,62,153.44
27,Fantastic Rubber Chair,35,148.22
28,Synergistic Iron Pants,84,9.97
29,Incredible Granite Table,42,77.68
30,Lightweight Granite Pants,53,50.6
31,Synergistic Wool Pants,1,82.5
32,Synergistic Paper Shoes,99,20.78
33,Aerodynamic Linen Computer,56,147.67
34,Ergonomic Wool Pants,60,151.91
35,Lightweight Wooden Clock,89,11.03
36,Small Steel Clock,85,127.85
37,Ergonomic Wool Bag,35,132.87
38,Enormous Concrete Keyboard,4,132.03
39,Synergistic Leather Plate,63,74.92
40,Enormous Bronze Car,81,111.02
41,Gorgeous Cotton Knife,36,97.7
42,Enormous Granite Gloves,79,190.27
43,Awesome Paper Plate,9,184.21
44,Sleek Bronze Bottle,79,30.09
45,Aerodynamic Aluminum Bag,66,106.62
46,Aerodynamic Leather Shirt,16,29.49
47,Synergistic Iron Coat,23,63.36
48,Small Rubber Gloves,46,157.12
49,Ergonomic Iron Gloves,83,22.95
50,Small Iron Gloves,22,178.98
51,Durable Plastic Bottle,73,180.03
52,Durable Wooden Gloves,35,160.33
53,Gorgeous Steel Bench,61,133.65
54,Fantastic Marble Lamp,32,21.53
55,Aerodynamic Paper Lamp,73,65.09
56,Fantastic Concrete Chair,45,62.14
57,Rustic Cotton Watch,90,86.99
58,Gorgeous Steel Shoes,88,43.07
59,Ergonomic Plastic Bag,3,70.01
60,Gorgeous Copper Hat,37,158.98
61,Lightweight Leather Hat,66,71.24
62,Fantastic Silk Keyboard,57,56.89
63,Intelligent Paper Watch,15,111.11
64,Small Cotton Table,8,193.15
65,Mediocre Paper Chair,21,172.02
66,Incredible Paper Table,34,95.75
67,Fantastic Bronze Hat,67,118.82
68,Mediocre Copper Lamp,46,111.41
69,Practical Rubber Lamp,8,29.71
70,Lightweight Cotton Bag,19,107.27
71,Small Leather Hat,11,17.32
72,Aerodynamic Wooden Bottle,87,152.11
73,Rustic Plastic Shoes,30,106.74
74,Mediocre Plastic Chair,52,133.01
75,Heavy Duty Wool Plate,82,128.63
